"Código Establecimiento","Nombre Establecimiento","ID Comuna","Nombre Comuna","Femenino","Masculino","Total Estudiantes"
"5","JOVINA NARANJO FERNANDEZ","15101","ARICA","10","19","29"
"8","COLEGIO INTEGRADO EDUARDO FREI MONTALVA","15101","ARICA","13","11","24"
"9","ESCUELA REPUBLICA DE ISRAEL","15101","ARICA","72","78","150"
"10","ESCUELA REPUBLICA DE FRANCIA","15101","ARICA","16","0","16"
"11","ESC. GRAL. PEDRO LAGOS MARCHANT","15101","ARICA","21","17","38"
"12","ESCUELA GRAL JOSE MIGUEL CARRERA","15101","ARICA","20","11","31"
"13","ESCUELA MANUEL RODRIGUEZ ERDOYZA","15101","ARICA","8","17","25"
"14","ESCUELA ROMULO J. PENA MATURANA","15101","ARICA","8","17","25"
"15","LICEO ARTISTICO DR. JUAN NOE CREVANI","15101","ARICA","19","18","37"
"16","ESCUELA REGIMIENTO RANCAGUA","15101","ARICA","9","14","23"
"17","ESCUELA SUBTTE. LUIS CRUZ MARTINEZ","15101","ARICA","16","14","30"
"18","ESC. COMTE. JUAN JOSE SAN MARTIN","15101","ARICA","17","22","39"
"19","ESC. HUMBERTO VALENZUELA GARCIA","15101","ARICA","24","15","39"
"20","ESCUELA TUCAPEL","15101","ARICA","14","29","43"
"22","ESCUELA GABRIELA MISTRAL","15101","ARICA","39","48","87"
"25","COLEGIO CENTENARIO DE ARICA","15101","ARICA","22","23","45"
"26","ESCUELA REPUBLICA DE ARGENTINA","15101","ARICA","7","10","17"
"27","ESCUELA ESMERALDA","15101","ARICA","11","18","29"
"28","ESCUELA RICARDO SILVA ARRIAGADA","15101","ARICA","35","30","65"
"29","ESCUELA AMERICA","15101","ARICA","23","27","50"
"31","ESCUELA DARIO SALAS DIAZ","15101","ARICA","20","21","41"
"32","LICEO AGRICOLA JOSE ABELARDO NUNEZ M.","15101","ARICA","22","25","47"
"33","ESCUELA CARLOS CONDELL DE LA HAZA","15101","ARICA","10","10","20"
"36","ESCUELA IGNACIO CARRERA PINTO","15101","ARICA","16","19","35"
"38","ESCUELA ESPAÑA","15101","ARICA","20","20","40"
