"RBD","AÑO","ALTA","DERIVADO","RESUELTO","FEMENINO","MASCULINO","REGION"
"9","2015","33","","","18","15","15"
"17","2015","151","","1","72","80","15"
"19","2015","39","","","18","21","15"
"22","2015","90","","","51","39","15"
"38","2015","67","","3","38","32","15"
"70","2015","4","","","4","","15"
"72","2015","13","","1","8","6","15"
"76","2015","5","","","3","2","15"
"78","2015","54","","12","39","27","15"
"79","2015","11","","","3","8","15"
"81","2015","4","","1","1","4","15"
"82","2015","1","","2","2","1","15"
"83","2015","4","","","2","2","15"
"84","2015","","","1","1","","15"
"86","2015","4","","1","1","4","15"
"87","2015","2","","","1","1","15"
"88","2015","1","","","","1","15"
"89","2015","1","","","1","","15"
"90","2015","20","","","12","8","15"
"91","2015","3","","","1","2","15"
"93","2015","3","","","2","1","15"
"94","2015","1","","","","1","15"
"103","2015","128","","1","77","52","1"
"110","2015","27","","","20","7","1"
"111","2015","132","","8","73","67","1"
"112","2015","102","","5","37","70","1"
"114","2015","93","","3","55","41","1"
"116","2015","164","","25","97","92","1"
"117","2015","49","","4","29","24","1"
"119","2015","99","","4","60","43","1"
"123","2015","33","","5","27","11","1"
"125","2015","244","","13","135","122","1"
"126","2015","77","1","2","39","41","1"
"156","2015","10","","4","6","8","1"
"161","2015","69","","13","27","55","1"
"162","2015","3","","3","3","3","1"
"167","2015","47","","14","32","29","1"
"168","2015","3","","","2","1","1"
"169","2015","8","","1","5","4","1"
"170","2015","3","","","1","2","1"
"171","2015","2","","1","1","2","1"
"172","2015","5","","","3","2","1"
"173","2015","9","","12","12","9","1"
"174","2015","11","","1","7","5","1"
"175","2015","2","","2","4","","1"
"177","2015","4","","","","4","1"
"178","2015","37","","4","21","20","1"
"185","2015","2","","","1","1","1"
"187","2015","67","","13","43","37","1"
"188","2015","29","","2","12","19","1"
"193","2015","32","","11","23","20","1"
"201","2015","77","","1","45","33","2"
"203","2015","77","","3","39","41","2"
"204","2015","38","","","14","24","2"
"205","2015","54","","","34","20","2"
"206","2015","223","1","17","118","123","2"
"210","2015","253","","52","153","152","2"
"232","2015","31","","","16","15","2"
"236","2015","73","1","","43","31","2"
"239","2015","1","","","1","","2"
"244","2015","176","","7","95","88","2"
"265","2015","59","","","34","25","2"
"319","2015","377","","27","222","182","2"
"332","2015","72","","13","49","36","2"
"367","2015","12","","2","7","7","2"
"368","2015","75","","20","60","35","2"
"371","2015","1","","2","2","1","2"
"374","2015","133","","10","66","77","2"
"375","2015","366","","16","203","179","2"
"380","2015","59","","9","36","32","3"
"381","2015","1","","","","1","3"
"382","2015","1","","","1","","3"
"383","2015","","","2","","2","3"
"401","2015","2","","1","2","1","3"
"411","2015","31","","8","15","24","3"
"413","2015","","","3","","3","3"
"421","2015","54","","","25","29","3"
"427","2015","13","","3","7","9","3"
"430","2015","12","","","12","","3"
"434","2015","108","","29","83","54","3"
"442","2015","44","","","16","28","3"
"450","2015","1","","","1","","3"
"459","2015","226","","20","125","121","3"
"481","2015","119","","45","88","76","3"
"487","2015","14","","","6","8","3"
"489","2015","21","","3","6","18","3"
"492","2015","2","","1","1","2","3"
"519","2015","557","2","60","310","309","4"
"521","2015","119","1","21","70","71","4"
"522","2015","295","1","52","348","","4"
"523","2015","97","","3","41","59","4"
"525","2015","258","","35","110","183","4"
"526","2015","247","","16","122","141","4"
"527","2015","244","2","32","102","176","4"
"528","2015","249","1","20","257","13","4"
"530","2015","227","1","29","120","137","4"
"531","2015","133","1","9","74","69","4"
"533","2015","2","","","1","1","4"
"534","2015","104","","10","48","66","4"
"535","2015","82","","13","50","45","4"
"536","2015","94","","2","43","53","4"
"539","2015","32","1","10","19","24","4"
"540","2015","41","","7","34","14","4"
"542","2015","105","1","10","58","58","4"
"543","2015","92","","21","58","55","4"
"546","2015","76","","7","35","48","4"
"548","2015","20","","4","6","18","4"
"549","2015","4","","2","1","5","4"
"550","2015","1","","","","1","4"
"551","2015","13","1","6","8","12","4"
"554","2015","6","","","3","3","4"
"556","2015","112","","18","64","66","4"
"557","2015","41","1","13","32","23","4"
"558","2015","11","1","","6","6","4"
"560","2015","59","","7","35","31","4"
"561","2015","11","","","5","6","4"
"562","2015","95","","5","42","58","4"
"563","2015","3","","1","2","2","4"
"564","2015","1","","","1","","4"
"597","2015","59","","","30","29","4"
"599","2015","24","","","12","12","4"
"602","2015","16","","","10","6","4"
