"Nombre Región Domicilio Familiar","ID Comuna","Nombre Comuna Domicilio Familiar","Femenino","Masculino","Total Becados"
"REGION DE TARAPACA","1101","IQUIQUE","245","118","363"
"REGION DE TARAPACA","1107","ALTO HOSPICIO","271","126","397"
"REGION DE TARAPACA","1401","POZO ALMONTE","36","30","66"
"REGION DE TARAPACA","1402","CAMIÑA","27","12","39"
"REGION DE TARAPACA","1403","COLCHANE","20","10","30"
"REGION DE TARAPACA","1404","HUARA","14","6","20"
"REGION DE TARAPACA","1405","PICA","43","35","78"
"REGION DE ANTOFAGASTA","2101","ANTOFAGASTA","113","50","163"
"REGION DE ANTOFAGASTA","2102","MEJILLONES","","1","1"
"REGION DE ANTOFAGASTA","2103","SIERRA GORDA","2","","2"
"REGION DE ANTOFAGASTA","2104","TALTAL","","1","1"
"REGION DE ANTOFAGASTA","2201","CALAMA","272","176","448"
"REGION DE ANTOFAGASTA","2202","OLLAGÜE","","1","1"
"REGION DE ANTOFAGASTA","2203","SAN PEDRO DE ATACAMA","23","24","47"
"REGION DE ANTOFAGASTA","2301","TOCOPILLA","7","3","10"
"REGION DE ANTOFAGASTA","2302","MARÍA ELENA","2","1","3"
"REGION DE ATACAMA","3101","COPIAPÓ","215","106","321"
"REGION DE ATACAMA","3102","CALDERA","31","14","45"
"REGION DE ATACAMA","3103","TIERRA AMARILLA","22","15","37"
"REGION DE ATACAMA","3201","CHAÑARAL","9","5","14"
"REGION DE ATACAMA","3202","DIEGO DE ALMAGRO","8","4","12"
"REGION DE ATACAMA","3301","VALLENAR","165","92","257"
"REGION DE ATACAMA","3302","ALTO DEL CARMEN","26","19","45"
"REGION DE ATACAMA","3303","FREIRINA","8","","8"
"REGION DE ATACAMA","3304","HUASCO","7","9","16"
"REGION DE COQUIMBO","4101","LA SERENA","80","48","128"
"REGION DE COQUIMBO","4102","COQUIMBO","61","40","101"
"REGION DE COQUIMBO","4103","ANDACOLLO","1","","1"
"REGION DE COQUIMBO","4105","PAIHUANO","2","","2"
"REGION DE COQUIMBO","4106","VICUÑA","11","5","16"
"REGION DE COQUIMBO","4201","ILLAPEL","5","4","9"
"REGION DE COQUIMBO","4203","LOS VILOS","4","1","5"
"REGION DE COQUIMBO","4204","SALAMANCA","12","6","18"
"REGION DE COQUIMBO","4301","OVALLE","44","34","78"
"REGION DE COQUIMBO","4302","COMBARBALÁ","11","8","19"
"REGION DE COQUIMBO","4303","MONTE PATRIA","20","5","25"
"REGION DE COQUIMBO","4304","PUNITAQUI","4","2","6"
"REGION DE COQUIMBO","4305","RÍO HURTADO","3","","3"
"REGION DE VALPARAISO","5101","VALPARAÍSO","76","42","118"
"REGION DE VALPARAISO","5102","CASABLANCA","4","1","5"
"REGION DE VALPARAISO","5103","CONCÓN","9","3","12"
"REGION DE VALPARAISO","5105","PUCHUNCAVÍ","7","1","8"
"REGION DE VALPARAISO","5107","QUINTERO","18","12","30"
"REGION DE VALPARAISO","5109","VIÑA DEL MAR","71","34","105"
"REGION DE VALPARAISO","5201","ISLA DE PASCUA","6","2","8"
"REGION DE VALPARAISO","5301","LOS ANDES","22","8","30"
"REGION DE VALPARAISO","5302","CALLE LARGA","7","1","8"
"REGION DE VALPARAISO","5303","RINCONADA","14","2","16"
"REGION DE VALPARAISO","5304","SAN ESTEBAN","8","4","12"
"REGION DE VALPARAISO","5401","LA LIGUA","35","26","61"
"REGION DE VALPARAISO","5402","CABILDO","9","6","15"
"REGION DE VALPARAISO","5403","PAPUDO","7","1","8"
"REGION DE VALPARAISO","5404","PETORCA","13","6","19"
"REGION DE VALPARAISO","5405","ZAPALLAR","2","5","7"
"REGION DE VALPARAISO","5501","QUILLOTA","39","27","66"
"REGION DE VALPARAISO","5502","LA CALERA","14","5","19"
"REGION DE VALPARAISO","5503","HIJUELAS","3","1","4"
"REGION DE VALPARAISO","5504","LA CRUZ","7","3","10"
"REGION DE VALPARAISO","5506","NOGALES","4","3","7"
"REGION DE VALPARAISO","5601","SAN ANTONIO","89","61","150"
"REGION DE VALPARAISO","5602","ALGARROBO","5","5","10"
"REGION DE VALPARAISO","5603","CARTAGENA","6","2","8"
"REGION DE VALPARAISO","5604","EL QUISCO","9","7","16"
"REGION DE VALPARAISO","5605","EL TABO","2","","2"
"REGION DE VALPARAISO","5606","SANTO DOMINGO","2","5","7"
"REGION DE VALPARAISO","5701","SAN FELIPE","10","7","17"
"REGION DE VALPARAISO","5702","CATEMU","7","1","8"
"REGION DE VALPARAISO","5703","LLAILLAY","5","5","10"
"REGION DE VALPARAISO","5705","PUTAENDO","9","6","15"
"REGION DE VALPARAISO","5706","SANTA MARÍA","17","10","27"
"REGION DE VALPARAISO","5801","QUILPUÉ","39","25","64"
"REGION DE VALPARAISO","5802","LIMACHE","5","4","9"
"REGION DE VALPARAISO","5803","OLMUÉ","3","","3"
"REGION DE VALPARAISO","5804","VILLA ALEMANA","68","27","95"
"REGION DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS","6101","RANCAGUA","103","53","156"
"REGION DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS","6102","CODEGUA","3","1","4"
"REGION DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS","6103","COINCO","5","3","8"
"REGION DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS","6104","COLTAUCO","7","4","11"
"REGION DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS","6105","DOÑIHUE","8","9","17"
"REGION DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS","6106","GRANEROS","18","10","28"
"REGION DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS","6107","LAS CABRAS","12","2","14"
"REGION DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS","6108","MACHALÍ","14","6","20"
"REGION DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS","6109","MALLOA","9","5","14"
"REGION DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS","6110","MOSTAZAL","11","3","14"
"REGION DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS","6111","OLIVAR","3","5","8"
"REGION DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS","6112","PEUMO","5","4","9"
"REGION DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS","6113","PICHIDEGUA","3","4","7"
"REGION DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS","6114","QUINTA DE TILCOCO","12","7","19"
"REGION DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS","6115","RENGO","24","14","38"
"REGION DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS","6116","REQUÍNOA","7","3","10"
"REGION DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS","6117","SAN VICENTE","10","4","14"
"REGION DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS","6201","PICHILEMU","5","6","11"
"REGION DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS","6203","LITUECHE","","2","2"
"REGION DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS","6204","MARCHIHUE","4","","4"
"REGION DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS","6205","NAVIDAD","4","2","6"
"REGION DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS","6206","PAREDONES","1","2","3"
"REGION DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS","6301","SAN FERNANDO","27","22","49"
"REGION DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS","6302","CHÉPICA","1","2","3"
"REGION DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS","6303","CHIMBARONGO","20","8","28"
"REGION DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS","6304","LOLOL","2","2","4"
"REGION DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS","6305","NANCAGUA","11","1","12"
"REGION DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS","6306","PALMILLA","5","2","7"
"REGION DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS","6307","PERALILLO","1","4","5"
"REGION DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS","6308","PLACILLA","8","1","9"
"REGION DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS","6309","PUMANQUE","2","1","3"
"REGION DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS","6310","SANTA CRUZ","14","11","25"
"REGION DEL MAULE","7101","TALCA","63","29","92"
"REGION DEL MAULE","7102","CONSTITUCIÓN","12","9","21"
"REGION DEL MAULE","7103","CUREPTO","7","5","12"
"REGION DEL MAULE","7104","EMPEDRADO","1","1","2"
"REGION DEL MAULE","7105","MAULE","11","5","16"
"REGION DEL MAULE","7106","PELARCO","1","","1"
"REGION DEL MAULE","7108","RÍO CLARO","3","3","6"
"REGION DEL MAULE","7109","SAN CLEMENTE","10","8","18"
"REGION DEL MAULE","7110","SAN RAFAEL","3","1","4"
"REGION DEL MAULE","7201","CAUQUENES","10","8","18"
"REGION DEL MAULE","7202","CHANCO","3","4","7"
"REGION DEL MAULE","7203","PELLUHUE","4","3","7"
"REGION DEL MAULE","7301","CURICÓ","107","51","158"
"REGION DEL MAULE","7302","HUALAÑÉ","9","8","17"
"REGION DEL MAULE","7303","LICANTÉN","19","10","29"
"REGION DEL MAULE","7304","MOLINA","12","4","16"
"REGION DEL MAULE","7305","RAUCO","3","3","6"
"REGION DEL MAULE","7306","ROMERAL","8","4","12"
"REGION DEL MAULE","7307","SAGRADA FAMILIA","4","1","5"
"REGION DEL MAULE","7308","TENO","12","9","21"
"REGION DEL MAULE","7309","VICHUQUÉN","16","12","28"
"REGION DEL MAULE","7401","LINARES","28","21","49"
"REGION DEL MAULE","7402","COLBÚN","9","5","14"
"REGION DEL MAULE","7403","LONGAVÍ","14","7","21"
"REGION DEL MAULE","7404","PARRAL","8","3","11"
"REGION DEL MAULE","7405","RETIRO","3","2","5"
"REGION DEL MAULE","7406","SAN JAVIER","3","7","10"
"REGION DEL MAULE","7407","VILLA ALEGRE","3","2","5"
"REGION DEL MAULE","7408","YERBAS BUENAS","2","3","5"
"REGION DEL BIOBIO","8101","CONCEPCIÓN","65","38","103"
"REGION DEL BIOBIO","8102","CORONEL","38","19","57"
"REGION DEL BIOBIO","8103","CHIGUAYANTE","19","8","27"
"REGION DEL BIOBIO","8105","HUALQUI","9","4","13"
