"Código Establecimiento","Nombre Establecimiento","ID Comuna","Nombre Comuna","TNE Ed. Básica","TNE Ed. Media","Total TNE"
"1","LICEO POLITECNICO ARICA","15101","ARICA","","159","159"
"4","LICEO OCTAVIO PALMA PEREZ","15101","ARICA","","671","671"
"5","JOVINA NARANJO FERNANDEZ","15101","ARICA","34","201","235"
"7","L. POLI. ANTONIO VARAS DE LA BARRA","15101","ARICA","","278","278"
"8","COLEGIO INTEGRADO EDUARDO FREI MONTALVA","15101","ARICA","37","114","151"
"9","ESCUELA REPUBLICA DE ISRAEL","15101","ARICA","186","","186"
"10","ESCUELA REPUBLICA DE FRANCIA","15101","ARICA","18","","18"
"11","ESC. GRAL. PEDRO LAGOS MARCHANT","15101","ARICA","48","","48"
"12","ESCUELA GRAL JOSE MIGUEL CARRERA","15101","ARICA","40","","40"
"13","ESCUELA MANUEL RODRIGUEZ ERDOYZA","15101","ARICA","26","","26"
"14","ESCUELA ROMULO J. PENA MATURANA","15101","ARICA","23","","23"
"15","LICEO ARTISTICO DR. JUAN NOE CREVANI","15101","ARICA","37","42","79"
"16","ESCUELA REGIMIENTO RANCAGUA","15101","ARICA","36","","36"
"17","ESCUELA SUBTTE. LUIS CRUZ MARTINEZ","15101","ARICA","38","","38"
"18","ESC. COMTE. JUAN JOSE SAN MARTIN","15101","ARICA","48","","48"
"19","ESC. HUMBERTO VALENZUELA GARCIA","15101","ARICA","48","","48"
"20","ESCUELA TUCAPEL","15101","ARICA","56","","56"
"22","ESCUELA GABRIELA MISTRAL","15101","ARICA","125","","125"
"25","COLEGIO CENTENARIO DE ARICA","15101","ARICA","37","30","67"
"26","ESCUELA REPUBLICA DE ARGENTINA","15101","ARICA","26","","26"
"27","ESCUELA ESMERALDA","15101","ARICA","32","","32"
"28","ESCUELA RICARDO SILVA ARRIAGADA","15101","ARICA","42","7","49"
"29","ESCUELA AMERICA","15101","ARICA","71","","71"
"30","ESCUELA DR. RICARDO OLEA GUERRA","15101","ARICA","19","","19"
"31","ESCUELA DARIO SALAS DIAZ","15101","ARICA","52","","52"
"32","LICEO AGRICOLA JOSE ABELARDO NUNEZ M.","15101","ARICA","66","35","101"
"33","ESCUELA CARLOS CONDELL DE LA HAZA","15101","ARICA","37","","37"
"35","ESCUELA GRAL. MANUEL BAQUEDANO","15101","ARICA","5","","5"
"36","ESCUELA IGNACIO CARRERA PINTO","15101","ARICA","56","","56"
"38","ESCUELA ESPAÑA","15101","ARICA","48","","48"
"39","ESCUELA PAMPA ALGODONAL","15101","ARICA","7","","7"
"41","ESCUELA VALLE DE CHACA","15101","ARICA","4","","4"
"45","COLEGIO ITALIANO SANTA ANA","15101","ARICA","94","125","219"
"50","COLEGIO ADVENTISTA DE ARICA","15101","ARICA","60","80","140"
"51","ESCUELA PARTICULAR REPÚBLICA DEL ECUADOR","15101","ARICA","4","","4"
"52","LICEO DOMINGO SANTA MARIA","15101","ARICA","249","700","949"
"56","COLEGIO SAN MARCOS DE ARICA","15101","ARICA","62","92","154"
"60","COLEGIO ALEMAN DE ARICA","15101","ARICA","77","119","196"
"67","ABRAHAM LINCOLN SCHOOL","15101","ARICA","57","38","95"
"72","LICEO  VALLE DE CODPA","15102","CAMARONES","2","2","4"
"74","ESCUELA VALLE DE CAMARONES","15102","CAMARONES","1","","1"
"76","ESCUELA VALLE DE CUYA","15102","CAMARONES","1","","1"
"78","LICEO GRANADEROS","15201","PUTRE","17","13","30"
"79","ESCUELA EL MARQUEZ","15201","PUTRE","1","","1"
"81","ESCUELA PAYACHATAS","15201","PUTRE","1","","1"
