Time,Central,Tipo Central,Generacion_MWh,Tecnologia,Clasificacion,Codigo Central
2017-08-01T01:00:00Z,Solar Tambo Real,Solar,"0,00",Solar Fotovoltaica,ERNC,Tambo Real
2017-08-01T02:00:00Z,Solar Tambo Real,Solar,"0,00",Solar Fotovoltaica,ERNC,Tambo Real
2017-08-01T03:00:00Z,Solar Tambo Real,Solar,"0,00",Solar Fotovoltaica,ERNC,Tambo Real
2017-08-01T04:00:00Z,Solar Tambo Real,Solar,"0,00",Solar Fotovoltaica,ERNC,Tambo Real
2017-08-01T05:00:00Z,Solar Tambo Real,Solar,"0,00",Solar Fotovoltaica,ERNC,Tambo Real
2017-08-01T06:00:00Z,Solar Tambo Real,Solar,"0,00",Solar Fotovoltaica,ERNC,Tambo Real
2017-08-01T07:00:00Z,Solar Tambo Real,Solar,"0,00",Solar Fotovoltaica,ERNC,Tambo Real
2017-08-01T08:00:00Z,Solar Tambo Real,Solar,"0,00",Solar Fotovoltaica,ERNC,Tambo Real
2017-08-01T09:00:00Z,Solar Tambo Real,Solar,"0,00",Solar Fotovoltaica,ERNC,Tambo Real
2017-08-01T10:00:00Z,Solar Tambo Real,Solar,"0,00",Solar Fotovoltaica,ERNC,Tambo Real
2017-08-01T11:00:00Z,Solar Tambo Real,Solar,"0,00",Solar Fotovoltaica,ERNC,Tambo Real
2017-08-01T12:00:00Z,Solar Tambo Real,Solar,"0,00",Solar Fotovoltaica,ERNC,Tambo Real
2017-08-01T13:00:00Z,Solar Tambo Real,Solar,"0,00",Solar Fotovoltaica,ERNC,Tambo Real
2017-08-01T14:00:00Z,Solar Tambo Real,Solar,"0,00",Solar Fotovoltaica,ERNC,Tambo Real
2017-08-01T15:00:00Z,Solar Tambo Real,Solar,"0,00",Solar Fotovoltaica,ERNC,Tambo Real
2017-08-01T16:00:00Z,Solar Tambo Real,Solar,"0,00",Solar Fotovoltaica,ERNC,Tambo Real
2017-08-01T17:00:00Z,Solar Tambo Real,Solar,"0,00",Solar Fotovoltaica,ERNC,Tambo Real
2017-08-01T18:00:00Z,Solar Tambo Real,Solar,"0,00",Solar Fotovoltaica,ERNC,Tambo Real
2017-08-01T19:00:00Z,Solar Tambo Real,Solar,"0,00",Solar Fotovoltaica,ERNC,Tambo Real
2017-08-01T20:00:00Z,Solar Tambo Real,Solar,"0,00",Solar Fotovoltaica,ERNC,Tambo Real
2017-08-01T21:00:00Z,Solar Tambo Real,Solar,"0,00",Solar Fotovoltaica,ERNC,Tambo Real
2017-08-01T22:00:00Z,Solar Tambo Real,Solar,"0,00",Solar Fotovoltaica,ERNC,Tambo Real
2017-08-01T23:00:00Z,Solar Tambo Real,Solar,"0,00",Solar Fotovoltaica,ERNC,Tambo Real
2017-08-02T00:00:00Z,Solar Tambo Real,Solar,"0,00",Solar Fotovoltaica,ERNC,Tambo Real
2017-08-01T01:00:00Z,Solar SDGx01,Solar,"0,00",Solar Fotovoltaica,ERNC,SDGx01
2017-08-01T02:00:00Z,Solar SDGx01,Solar,"0,00",Solar Fotovoltaica,ERNC,SDGx01
2017-08-01T03:00:00Z,Solar SDGx01,Solar,"0,00",Solar Fotovoltaica,ERNC,SDGx01
2017-08-01T04:00:00Z,Solar SDGx01,Solar,"0,00",Solar Fotovoltaica,ERNC,SDGx01
2017-08-01T05:00:00Z,Solar SDGx01,Solar,"0,00",Solar Fotovoltaica,ERNC,SDGx01
2017-08-01T06:00:00Z,Solar SDGx01,Solar,"0,00",Solar Fotovoltaica,ERNC,SDGx01
2017-08-01T07:00:00Z,Solar SDGx01,Solar,"0,00",Solar Fotovoltaica,ERNC,SDGx01
2017-08-01T08:00:00Z,Solar SDGx01,Solar,"0,00",Solar Fotovoltaica,ERNC,SDGx01
2017-08-01T09:00:00Z,Solar SDGx01,Solar,"0,00",Solar Fotovoltaica,ERNC,SDGx01
2017-08-01T10:00:00Z,Solar SDGx01,Solar,"0,00",Solar Fotovoltaica,ERNC,SDGx01
2017-08-01T11:00:00Z,Solar SDGx01,Solar,"0,00",Solar Fotovoltaica,ERNC,SDGx01
2017-08-01T12:00:00Z,Solar SDGx01,Solar,"0,00",Solar Fotovoltaica,ERNC,SDGx01
2017-08-01T13:00:00Z,Solar SDGx01,Solar,"0,00",Solar Fotovoltaica,ERNC,SDGx01
2017-08-01T14:00:00Z,Solar SDGx01,Solar,"0,00",Solar Fotovoltaica,ERNC,SDGx01
2017-08-01T15:00:00Z,Solar SDGx01,Solar,"0,00",Solar Fotovoltaica,ERNC,SDGx01
2017-08-01T16:00:00Z,Solar SDGx01,Solar,"0,00",Solar Fotovoltaica,ERNC,SDGx01
2017-08-01T17:00:00Z,Solar SDGx01,Solar,"0,00",Solar Fotovoltaica,ERNC,SDGx01
2017-08-01T18:00:00Z,Solar SDGx01,Solar,"0,00",Solar Fotovoltaica,ERNC,SDGx01
2017-08-01T19:00:00Z,Solar SDGx01,Solar,"0,00",Solar Fotovoltaica,ERNC,SDGx01
2017-08-01T20:00:00Z,Solar SDGx01,Solar,"0,00",Solar Fotovoltaica,ERNC,SDGx01
2017-08-01T21:00:00Z,Solar SDGx01,Solar,"0,00",Solar Fotovoltaica,ERNC,SDGx01
2017-08-01T22:00:00Z,Solar SDGx01,Solar,"0,00",Solar Fotovoltaica,ERNC,SDGx01
2017-08-01T23:00:00Z,Solar SDGx01,Solar,"0,00",Solar Fotovoltaica,ERNC,SDGx01
2017-08-02T00:00:00Z,Solar SDGx01,Solar,"0,00",Solar Fotovoltaica,ERNC,SDGx01
2017-08-01T01:00:00Z,Solar Esperanza,Solar,"0,00",Solar Fotovoltaica,ERNC,Salvador RTS
2017-08-01T02:00:00Z,Solar Esperanza,Solar,"0,00",Solar Fotovoltaica,ERNC,Salvador RTS
2017-08-01T03:00:00Z,Solar Esperanza,Solar,"0,00",Solar Fotovoltaica,ERNC,Salvador RTS
2017-08-01T04:00:00Z,Solar Esperanza,Solar,"0,00",Solar Fotovoltaica,ERNC,Salvador RTS
2017-08-01T05:00:00Z,Solar Esperanza,Solar,"0,00",Solar Fotovoltaica,ERNC,Salvador RTS
2017-08-01T06:00:00Z,Solar Esperanza,Solar,"0,00",Solar Fotovoltaica,ERNC,Salvador RTS
2017-08-01T07:00:00Z,Solar Esperanza,Solar,"0,00",Solar Fotovoltaica,ERNC,Salvador RTS
2017-08-01T08:00:00Z,Solar Esperanza,Solar,"0,00",Solar Fotovoltaica,ERNC,Salvador RTS
