Central,Clasificacion,Codigo Central,Generacion_MWh,Tecnologia,Time,Tipo Central
Solar Llano de Llampos,ERNC,Llano de Llampos,0.2,Solar Fotovoltaica,Tue Aug 01 08:00:00 CLT 2017,Solar
Solar Llano de Llampos,ERNC,Llano de Llampos,8.5,Solar Fotovoltaica,Tue Aug 01 09:00:00 CLT 2017,Solar
Solar Llano de Llampos,ERNC,Llano de Llampos,39.8,Solar Fotovoltaica,Tue Aug 01 10:00:00 CLT 2017,Solar
Solar Llano de Llampos,ERNC,Llano de Llampos,50.7,Solar Fotovoltaica,Tue Aug 01 11:00:00 CLT 2017,Solar
Solar Llano de Llampos,ERNC,Llano de Llampos,59.6,Solar Fotovoltaica,Tue Aug 01 12:00:00 CLT 2017,Solar
Solar Llano de Llampos,ERNC,Llano de Llampos,59.8,Solar Fotovoltaica,Tue Aug 01 13:00:00 CLT 2017,Solar
Solar Llano de Llampos,ERNC,Llano de Llampos,60.2,Solar Fotovoltaica,Tue Aug 01 14:00:00 CLT 2017,Solar
Solar Llano de Llampos,ERNC,Llano de Llampos,62.2,Solar Fotovoltaica,Tue Aug 01 15:00:00 CLT 2017,Solar
Solar Llano de Llampos,ERNC,Llano de Llampos,61.7,Solar Fotovoltaica,Tue Aug 01 16:00:00 CLT 2017,Solar
Solar Llano de Llampos,ERNC,Llano de Llampos,52.6,Solar Fotovoltaica,Tue Aug 01 17:00:00 CLT 2017,Solar
Solar Llano de Llampos,ERNC,Llano de Llampos,18.8,Solar Fotovoltaica,Tue Aug 01 18:00:00 CLT 2017,Solar
Solar San Andrés,ERNC,Solar San Andrés,1.1,Solar Fotovoltaica,Tue Aug 01 09:00:00 CLT 2017,Solar
Solar San Andrés,ERNC,Solar San Andrés,2.4,Solar Fotovoltaica,Tue Aug 01 10:00:00 CLT 2017,Solar
Solar San Andrés,ERNC,Solar San Andrés,4,Solar Fotovoltaica,Tue Aug 01 11:00:00 CLT 2017,Solar
Solar San Andrés,ERNC,Solar San Andrés,8.6,Solar Fotovoltaica,Tue Aug 01 12:00:00 CLT 2017,Solar
Solar San Andrés,ERNC,Solar San Andrés,12.9,Solar Fotovoltaica,Tue Aug 01 13:00:00 CLT 2017,Solar
Solar San Andrés,ERNC,Solar San Andrés,21.9,Solar Fotovoltaica,Tue Aug 01 14:00:00 CLT 2017,Solar
Solar San Andrés,ERNC,Solar San Andrés,22,Solar Fotovoltaica,Tue Aug 01 15:00:00 CLT 2017,Solar
Solar San Andrés,ERNC,Solar San Andrés,19.4,Solar Fotovoltaica,Tue Aug 01 16:00:00 CLT 2017,Solar
Solar San Andrés,ERNC,Solar San Andrés,20.8,Solar Fotovoltaica,Tue Aug 01 17:00:00 CLT 2017,Solar
Solar San Andrés,ERNC,Solar San Andrés,5.53,Solar Fotovoltaica,Tue Aug 01 18:00:00 CLT 2017,Solar
Solar San Andrés,ERNC,Solar San Andrés,0.01,Solar Fotovoltaica,Tue Aug 01 19:00:00 CLT 2017,Solar
Solar Santa Cecilia,ERNC,Santa Cecilia,0.02,Solar Fotovoltaica,Tue Aug 01 09:00:00 CLT 2017,Solar
Solar Santa Cecilia,ERNC,Santa Cecilia,0.12,Solar Fotovoltaica,Tue Aug 01 10:00:00 CLT 2017,Solar
Solar Santa Cecilia,ERNC,Santa Cecilia,0.2,Solar Fotovoltaica,Tue Aug 01 11:00:00 CLT 2017,Solar
Solar Santa Cecilia,ERNC,Santa Cecilia,0.6900000000000001,Solar Fotovoltaica,Tue Aug 01 12:00:00 CLT 2017,Solar
Solar Santa Cecilia,ERNC,Santa Cecilia,0.77,Solar Fotovoltaica,Tue Aug 01 13:00:00 CLT 2017,Solar
Solar Santa Cecilia,ERNC,Santa Cecilia,0.89,Solar Fotovoltaica,Tue Aug 01 14:00:00 CLT 2017,Solar
Solar Santa Cecilia,ERNC,Santa Cecilia,1,Solar Fotovoltaica,Tue Aug 01 15:00:00 CLT 2017,Solar
Solar Santa Cecilia,ERNC,Santa Cecilia,1.3900000000000001,Solar Fotovoltaica,Tue Aug 01 16:00:00 CLT 2017,Solar
Solar Santa Cecilia,ERNC,Santa Cecilia,1.1400000000000001,Solar Fotovoltaica,Tue Aug 01 17:00:00 CLT 2017,Solar
Solar Santa Cecilia,ERNC,Santa Cecilia,0.13,Solar Fotovoltaica,Tue Aug 01 18:00:00 CLT 2017,Solar
Solar Techos de Altamira,ERNC,Techos de Altamira,0.01,Solar Fotovoltaica,Tue Aug 01 11:00:00 CLT 2017,Solar
Solar Techos de Altamira,ERNC,Techos de Altamira,0.01,Solar Fotovoltaica,Tue Aug 01 12:00:00 CLT 2017,Solar
Solar Techos de Altamira,ERNC,Techos de Altamira,0.01,Solar Fotovoltaica,Tue Aug 01 15:00:00 CLT 2017,Solar
Solar Techos de Altamira,ERNC,Techos de Altamira,0.01,Solar Fotovoltaica,Tue Aug 01 16:00:00 CLT 2017,Solar
Solar Diego de Almagro,ERNC,Solar Diego de Almagro,0.06,Solar Fotovoltaica,Tue Aug 01 08:00:00 CLT 2017,Solar
Solar Diego de Almagro,ERNC,Solar Diego de Almagro,1.5,Solar Fotovoltaica,Tue Aug 01 09:00:00 CLT 2017,Solar
Solar Diego de Almagro,ERNC,Solar Diego de Almagro,9.46,Solar Fotovoltaica,Tue Aug 01 10:00:00 CLT 2017,Solar
Solar Diego de Almagro,ERNC,Solar Diego de Almagro,17.4,Solar Fotovoltaica,Tue Aug 01 11:00:00 CLT 2017,Solar
Solar Diego de Almagro,ERNC,Solar Diego de Almagro,23.21,Solar Fotovoltaica,Tue Aug 01 12:00:00 CLT 2017,Solar
Solar Diego de Almagro,ERNC,Solar Diego de Almagro,23.85,Solar Fotovoltaica,Tue Aug 01 13:00:00 CLT 2017,Solar
Solar Diego de Almagro,ERNC,Solar Diego de Almagro,23.04,Solar Fotovoltaica,Tue Aug 01 14:00:00 CLT 2017,Solar
Solar Diego de Almagro,ERNC,Solar Diego de Almagro,22.22,Solar Fotovoltaica,Tue Aug 01 15:00:00 CLT 2017,Solar
Solar Diego de Almagro,ERNC,Solar Diego de Almagro,18.67,Solar Fotovoltaica,Tue Aug 01 16:00:00 CLT 2017,Solar
Solar Diego de Almagro,ERNC,Solar Diego de Almagro,12.18,Solar Fotovoltaica,Tue Aug 01 17:00:00 CLT 2017,Solar
Solar Diego de Almagro,ERNC,Solar Diego de Almagro,3.93,Solar Fotovoltaica,Tue Aug 01 18:00:00 CLT 2017,Solar
Solar PSF Pama,ERNC,Solar PSF Pama,0.06,Solar Fotovoltaica,Tue Aug 01 09:00:00 CLT 2017,Solar
Solar PSF Pama,ERNC,Solar PSF Pama,0.32,Solar Fotovoltaica,Tue Aug 01 10:00:00 CLT 2017,Solar
Solar PSF Pama,ERNC,Solar PSF Pama,0.23,Solar Fotovoltaica,Tue Aug 01 11:00:00 CLT 2017,Solar
Solar PSF Pama,ERNC,Solar PSF Pama,0.14,Solar Fotovoltaica,Tue Aug 01 12:00:00 CLT 2017,Solar
Solar PSF Pama,ERNC,Solar PSF Pama,0.24,Solar Fotovoltaica,Tue Aug 01 13:00:00 CLT 2017,Solar
Solar PSF Pama,ERNC,Solar PSF Pama,0.49,Solar Fotovoltaica,Tue Aug 01 14:00:00 CLT 2017,Solar
Solar PSF Pama,ERNC,Solar PSF Pama,1.3599999999999999,Solar Fotovoltaica,Tue Aug 01 15:00:00 CLT 2017,Solar
Solar PSF Pama,ERNC,Solar PSF Pama,0.31,Solar Fotovoltaica,Tue Aug 01 16:00:00 CLT 2017,Solar
Solar PSF Pama,ERNC,Solar PSF Pama,0.24,Solar Fotovoltaica,Tue Aug 01 17:00:00 CLT 2017,Solar
Solar PSF Pama,ERNC,Solar PSF Pama,0.07,Solar Fotovoltaica,Tue Aug 01 18:00:00 CLT 2017,Solar
Solar PSF Lomas Coloradas,ERNC,Solar PSF Lomas Coloradas,0.06,Solar Fotovoltaica,Tue Aug 01 09:00:00 CLT 2017,Solar
Solar PSF Lomas Coloradas,ERNC,Solar PSF Lomas Coloradas,0.33,Solar Fotovoltaica,Tue Aug 01 10:00:00 CLT 2017,Solar
Solar PSF Lomas Coloradas,ERNC,Solar PSF Lomas Coloradas,0.24,Solar Fotovoltaica,Tue Aug 01 11:00:00 CLT 2017,Solar
Solar PSF Lomas Coloradas,ERNC,Solar PSF Lomas Coloradas,0.15,Solar Fotovoltaica,Tue Aug 01 12:00:00 CLT 2017,Solar
Solar PSF Lomas Coloradas,ERNC,Solar PSF Lomas Coloradas,0.22,Solar Fotovoltaica,Tue Aug 01 13:00:00 CLT 2017,Solar
Solar PSF Lomas Coloradas,ERNC,Solar PSF Lomas Coloradas,0.42,Solar Fotovoltaica,Tue Aug 01 14:00:00 CLT 2017,Solar
Solar PSF Lomas Coloradas,ERNC,Solar PSF Lomas Coloradas,1.18,Solar Fotovoltaica,Tue Aug 01 15:00:00 CLT 2017,Solar
Solar PSF Lomas Coloradas,ERNC,Solar PSF Lomas Coloradas,0.30000000000000004,Solar Fotovoltaica,Tue Aug 01 16:00:00 CLT 2017,Solar
Solar PSF Lomas Coloradas,ERNC,Solar PSF Lomas Coloradas,0.33,Solar Fotovoltaica,Tue Aug 01 17:00:00 CLT 2017,Solar
Solar PSF Lomas Coloradas,ERNC,Solar PSF Lomas Coloradas,0.09,Solar Fotovoltaica,Tue Aug 01 18:00:00 CLT 2017,Solar
Solar PV Salvador,ERNC,Solar PV Salvador,2.19,Solar Fotovoltaica,Tue Aug 01 08:00:00 CLT 2017,Solar
Solar PV Salvador,ERNC,Solar PV Salvador,30.27,Solar Fotovoltaica,Tue Aug 01 09:00:00 CLT 2017,Solar
Solar PV Salvador,ERNC,Solar PV Salvador,47.55,Solar Fotovoltaica,Tue Aug 01 10:00:00 CLT 2017,Solar
Solar PV Salvador,ERNC,Solar PV Salvador,49.09,Solar Fotovoltaica,Tue Aug 01 11:00:00 CLT 2017,Solar
Solar PV Salvador,ERNC,Solar PV Salvador,48.77,Solar Fotovoltaica,Tue Aug 01 12:00:00 CLT 2017,Solar
Solar PV Salvador,ERNC,Solar PV Salvador,22.91,Solar Fotovoltaica,Tue Aug 01 13:00:00 CLT 2017,Solar
Solar PV Salvador,ERNC,Solar PV Salvador,2,Solar Fotovoltaica,Tue Aug 01 14:00:00 CLT 2017,Solar
